mm16.3n,gg16maiden.bps,mm16maiden.3n,gg16knight.bps,mm16knight.3n
mm15.1n,gg15maiden.bps,mm15maiden.1n,gg15knight.bps,mm15knight.1n
mm14.4l,gg14maiden.bps,mm14maiden.4l,gg14knight.bps,mm14knight.4l
mm13.3l,gg13maiden.bps,mm13maiden.3l,gg13knight.bps,mm13knight.3l
mm12.1l,gg12maiden.bps,mm12maiden.1l,gg12knight.bps,mm12knight.1l
m-02.14k,,m-02.14k,,m-02.14k
m-01.2e,,m-01.2e,,m-01.2e
,,,,
makaimur,maiden_artoria patch,makmaiden (Makaimura - Maiden Artoria Edition),knight_artoria patch,makknight (Makaimura - Knight Artoria Edition)
10n.rom,10nmaiden.bps,10nmaiden.rom,10nknight.bps,10nknight.rom
8n.rom,,8n.rom,,8n.rom
12n.rom,12nmaiden.bps,12nmaiden.rom,12nknight.bps,12nknight.rom
gg2.bin,,gg2.bin,,gg2.bin
gg1.bin,gg1maiden.bps,gg1maiden.bin,gg1knight.bps,gg1knight.bin
gg11.bin,,gg11.bin,,gg11.bin
gg10.bin,,gg10.bin,,gg10.bin
gg9.bin,,gg9.bin,,gg9.bin
gg8.bin,,gg8.bin,,gg8.bin
gg7.bin,,gg7.bin,,gg7.bin
gg6.bin,,gg6.bin,,gg6.bin
gng13.n4,gng13maiden.bps,gng13maiden.n4,gng13knight.bps,gng13knight.n4
gg16.bin,gg16maiden.bps,gg16maiden.bin,gg16knight.bps,gg16knight.bin
gg15.bin,gg15maiden.bps,gg15maiden.bin,gg15knight.bps,gg15knight.bin
gng16.l4,gng16maiden.bps,gng16maiden.l4,gng16knight.bps,gng16knight.l4
gg13.bin,gg13maiden.bps,gg13maiden.bin,gg13knight.bps,gg13knight.bin
gg12.bin,gg12maiden.bps,gg12maiden.bin,gg12knight.bps,gg12knight.bin
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
,,,,
makaimurb,maiden_artoria patch,makmaidenb (Makaimura - Maiden Artoria Edition (Japan revision B)),knight_artoria patch,makknightb (Makaimura - Knight Artoria Edition (Japan revision B))
mj04b.10n,mj04bmaiden.10n.bps,mj04bmaiden.10n,mj04bknight.10n.bps,mj04bknight.10n
mj03b.8n,,mj03b.8n,,mj03b.8n
mj05b.12n,mj05bmaiden.12n.bps,mj05bmaiden.12n,mj05bknight.12n.bps,mj05bknight.12n
mm02.14h,,mm02.14h,,mm02.14h
mj01.11e,mj01maiden.11e.bps,mj01maiden.11e,mj01knight.11e.bps,mj01knight.11e
mm11.3e,,mm11.3e,,mm11.3e
mm10.1e,,mm10.1e,,mm10.1e
mm09.3c,,mm09.3c,,mm09.3c
mm08.1c,,mm08.1c,,mm08.1c
mm07.3b,,mm07.3b,,mm07.3b
mm06.1b,,mm06.1b,,mm06.1b
mj17.4n,gng13maiden.bps,mj17maiden.4n,gng13knight.bps,mj17knight.4n
mj16.3n,gg16maiden.bps,mj16maiden.3n,gg16knight.bps,mj16knight.3n
mj15.1n,gg15maiden.bps,mj15maiden.1n,gg15knight.bps,mj15knight.1n
mj14.4l,gng16maiden.bps,mj14maiden.4l,gng16knight.bps,mj14knight.4l
mj13.3l,gg13maiden.bps,mj13maiden.3l,gg13knight.bps,mj13knight.3l
mj12.1l,gg12maiden.bps,mj12maiden.1l,gg12knight.bps,mj12knight.1l
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
,,,,
makaimurc,maiden_artoria patch,makmaidenc (Makaimura - Maiden Artoria Edition (Japan revision C)),knight_artoria patch,makknightc (Makaimura - Knight Artoria Edition (Japan revision C))
mj04c.bin,mj04cmaiden.bps,mj04cmaiden.bin,mj04cknight.bps,mj04cknight.bin
mj03c.bin,,mj03c.bin,,mj03c.bin
mj05c.bin,mj05cmaiden.bps,mj05cmaiden.bin,mj05cknight.bps,mj05cknight.bin
gg2.bin,,gg2.bin,,gg2.bin
gg1.bin,gg1maiden.bps,gg1maiden.bin,gg1knight.bps,gg1knight.bin
gg11.bin,,gg11.bin,,gg11.bin
gg10.bin,,gg10.bin,,gg10.bin
gg9.bin,,gg9.bin,,gg9.bin
gg8.bin,,gg8.bin,,gg8.bin
gg7.bin,,gg7.bin,,gg7.bin
gg6.bin,,gg6.bin,,gg6.bin
gng13.n4,gng13maiden.bps,gng13maiden.n4,gng13knight.bps,gng13knight.n4
gg16.bin,gg16maiden.bps,gg16maiden.bin,gg16knight.bps,gg16knight.bin
gg15.bin,gg15maiden.bps,gg15maiden.bin,gg15knight.bps,gg15knight.bin
gng16.l4,gng16maiden.bps,gng16maiden.l4,gng16knight.bps,gng16knight.l4
gg13.bin,gg13maiden.bps,gg13maiden.bin,gg13knight.bps,gg13knight.bin
gg12.bin,gg12maiden.bps,gg12maiden.bin,gg12knight.bps,gg12knight.bin
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
,,,,
makaimurg,maiden_artoria patch,makmaideng (Makaimura - Maiden Artoria Edition (Japan revision G)),knight_artoria patch,makknightg (Makaimura - Knight Artoria Edition (Japan revision G))
mj04g.bin,mj04gmaiden.bps,mj04gmaiden.bin,mj04gknight.bps,mj04gknight.bin
mj03g.bin,,mj03g.bin,,mj03g.bin
mj05g.bin,mj05gmaiden.bps,mj05gmaiden.bin,mj05gknight.bps,mj05gknight.bin
gg2.bin,,gg2.bin,,gg2.bin
gg1.bin,gg1maiden.bps,gg1maiden.bin,gg1knight.bps,gg1knight.bin
gg11.bin,,gg11.bin,,gg11.bin
gg10.bin,,gg10.bin,,gg10.bin
gg9.bin,,gg9.bin,,gg9.bin
gg8.bin,,gg8.bin,,gg8.bin
gg7.bin,,gg7.bin,,gg7.bin
gg6.bin,,gg6.bin,,gg6.bin
gng13.n4,gng13maiden.bps,gng13maiden.n4,gng13knight.bps,gng13knight.n4
gg16.bin,gg16maiden.bps,gg16maiden.bin,gg16knight.bps,gg16knight.bin
gg15.bin,gg15maiden.bps,gg15maiden.bin,gg15knight.bps,gg15knight.bin
gng16.l4,gng16maiden.bps,gng16maiden.l4,gng16knight.bps,gng16knight.l4
gg13.bin,gg13maiden.bps,gg13maiden.bin,gg13knight.bps,gg13knight.bin
gg12.bin,gg12maiden.bps,gg12maiden.bin,gg12knight.bps,gg12knight.bin
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
